entry_date,exit_date,entry_price,exit_price,position,position_size,pnl,pnl_pct,pnl_dollar,exit_reason,hold_days
2002-03-20,2002-03-21,18.356218338012695,18.72334270477295,short,272,-0.02000000000000004,-2.000000000000004,-99.85782775878926,stop_loss,1
2002-03-25,2002-03-26,18.09050178527832,18.452311820983887,short,273,-0.020000000000000014,-2.0000000000000013,-98.7741397476197,stop_loss,1
2002-04-02,2002-04-08,17.49492073059082,17.476591110229492,short,280,0.0010477109695774607,0.10477109695774607,5.132293701171875,time_limit,6
2002-04-09,2002-04-10,16.758831024169922,17.09400764465332,short,292,-0.020000000000000007,-2.000000000000001,-97.87157318115239,stop_loss,1
2002-04-26,2002-04-29,15.729541778564453,16.04413261413574,short,308,-0.01999999999999991,-1.9999999999999911,-96.8939773559566,stop_loss,3
2002-05-02,2002-05-07,15.640974998474121,15.10952091217041,short,307,0.033978322090250625,3.3978322090250623,163.15640449523926,time_limit,5
2002-05-09,2002-05-14,15.918906211853027,16.237284336090088,short,307,-0.020000000000000007,-2.000000000000001,-97.74208414077764,stop_loss,5
2002-05-21,2002-05-22,15.940289497375488,16.259095287323,short,303,-0.02000000000000009,-2.000000000000009,-96.5981543540959,stop_loss,1
2002-05-31,2002-06-05,15.549344062805176,15.778409004211426,short,308,-0.014731485809371536,-1.4731485809371536,-70.552001953125,time_limit,5
2002-06-12,2002-06-13,16.96346664428711,16.624197311401367,long,280,-0.019999999999999983,-1.9999999999999982,-94.99541320800773,stop_loss,1
2002-06-14,2002-06-19,16.874897003173828,16.603071212768555,long,278,-0.01610829330419904,-1.610829330419904,-75.56756973266602,time_limit,5
2002-06-25,2002-06-26,16.172412872314453,16.495861129760744,short,288,-0.020000000000000115,-2.0000000000000115,-93.15309814453178,stop_loss,1
2002-06-26,2002-06-27,16.53282356262207,16.202167091369628,long,279,-0.020000000000000077,-2.0000000000000075,-92.25315547943151,stop_loss,1
2002-07-01,2002-07-05,16.083833694458008,16.40551036834717,short,284,-0.02000000000000008,-2.000000000000008,-91.35617538452185,stop_loss,4
2002-07-05,2002-07-08,16.752727508544922,16.417672958374023,long,270,-0.020000000000000007,-2.000000000000001,-90.46472854614262,stop_loss,3
2002-07-10,2002-07-12,15.955561637878418,16.274672870635985,short,281,-0.019999999999999938,-1.9999999999999938,-89.67025640487643,stop_loss,2
2002-07-12,2002-07-17,15.839500427246094,16.156290435791014,short,280,-0.01999999999999991,-1.9999999999999911,-88.70120239257773,stop_loss,5
2002-07-23,2002-07-24,13.136457443237305,13.399186592102051,short,334,-0.02000000000000003,-2.000000000000003,-87.75153572082533,stop_loss,1
2002-07-25,2002-07-26,13.081480979919434,13.343110599517823,short,332,-0.02000000000000007,-2.000000000000007,-86.86103370666535,stop_loss,1
2002-08-01,2002-08-06,13.973320007324219,14.252786407470703,short,308,-0.019999999999999983,-1.9999999999999982,-86.07565124511711,stop_loss,5
2002-08-13,2002-08-14,14.373440742492676,14.66090955734253,short,296,-0.020000000000000025,-2.0000000000000027,-85.09076919555675,stop_loss,1
2002-08-19,2002-08-20,15.882251739501953,15.564606704711913,long,265,-0.020000000000000052,-2.0000000000000053,-84.17593421936058,stop_loss,1
2002-08-28,2002-08-29,15.082036972045898,15.383677711486817,short,277,-0.020000000000000014,-2.0000000000000013,-83.55448482513434,stop_loss,1
2002-08-30,2002-09-04,14.990406036376953,14.724684715270996,short,276,0.017726092306048002,1.7726092306048002,73.33908462524414,time_limit,5
2002-09-05,2002-09-06,14.022200584411621,14.302644596099853,short,297,-0.01999999999999996,-1.9999999999999958,-83.29187147140486,stop_loss,1
2002-09-10,2002-09-11,15.207258224487305,14.903113059997558,long,271,-0.020000000000000018,-2.0000000000000018,-82.42333957672128,stop_loss,1
2002-09-11,2002-09-16,14.83769416809082,14.593344688415527,short,275,0.01646815717503993,1.646815717503993,67.19610691070557,time_limit,5
2002-09-17,2002-09-18,14.44369125366211,14.732565078735352,short,285,-0.02000000000000001,-2.000000000000001,-82.32904014587406,stop_loss,1
2002-09-27,2002-10-01,13.820613861083984,14.097026138305663,short,295,-0.019999999999999955,-1.9999999999999956,-81.54162178039532,stop_loss,4
2002-10-04,2002-10-07,13.368579864501953,13.635951461791992,short,302,-0.019999999999999962,-1.9999999999999962,-80.74622238159165,stop_loss,3
2002-10-11,2002-10-14,14.926264762878418,14.627739467620849,long,268,-0.020000000000000056,-2.0000000000000058,-80.00477912902855,stop_loss,3
2002-10-14,2002-10-21,15.054544448852539,16.03802490234375,long,263,0.06532781226509793,6.532781226509793,258.6553592681885,time_limit,7
